time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1993,53,Washington,A05,2,405478.0,408013.0,5454.0,304995.0,618019.0,2536.0
1993,53,Washington,A05,3,417374.0,418946.0,6263.0,326805.0,591823.0,1572.0
1993,53,Washington,A05,4,969215.0,972874.0,6633.0,786914.0,1315517.0,3658.0
1993,53,Washington,A05,5,5126481.0,5125655.0,9174.0,4478218.0,6231874.0,-826.0
1993,55,Wisconsin,A05,1,289906.0,319407.0,4813.0,226754.0,433419.0,29501.0
1993,55,Wisconsin,A05,2,343540.0,344496.0,4950.0,275575.0,454226.0,956.0
1993,55,Wisconsin,A05,3,370275.0,371576.0,5639.0,309305.0,465751.0,1300.0
1993,55,Wisconsin,A05,4,896701.0,902380.0,6161.0,760411.0,1118887.0,5679.0
1993,55,Wisconsin,A05,5,6109756.0,6131327.0,8017.0,5500248.0,7049592.0,21572.0
1994,06,California,A05,1,2438581.0,2667718.0,6428.0,1846885.0,3865500.0,229136.0
1994,06,California,A05,2,3020870.0,3033973.0,7247.0,2378602.0,4248127.0,13103.0
1994,06,California,A05,3,2515724.0,2521089.0,7482.0,2007276.0,3424380.0,5365.0
1994,06,California,A05,4,5784859.0,5802518.0,8218.0,4784189.0,7506698.0,17659.0
1994,06,California,A05,5,27954937.0,27887578.0,10178.0,24479225.0,33422135.0,-67357.0
1994,08,Colorado,A05,1,337939.0,376096.0,6029.0,237341.0,585360.0,38157.0
1994,08,Colorado,A05,2,330419.0,332659.0,6258.0,242215.0,494611.0,2241.0
1994,08,Colorado,A05,3,364598.0,367664.0,6752.0,277786.0,520619.0,3066.0
1994,08,Colorado,A05,4,770126.0,775558.0,7260.0,603745.0,1059877.0,5431.0
1994,08,Colorado,A05,5,3908053.0,3930629.0,8888.0,3280594.0,4956148.0,22574.0
1994,16,Idaho,A05,1,102164.0,111151.0,6735.0,75157.0,166093.0,8986.0
1994,16,Idaho,A05,2,80586.0,80629.0,4559.0,60089.0,118825.0,44.0
1994,16,Idaho,A05,3,83354.0,85043.0,4815.0,63793.0,120853.0,1688.0
